state:int	x:float	y:float	r:int	stroke:string	fill:string	opacity:float	class:string	label:string	showvalue:boolean
0	0.5	0.5	0	black	white	0	client		0
0	0.5	0.5	0	black	white	0	client		0
0	0.5	0.5	0	black	white	0	client		0
0	0.5	0.5	0	black	white	0	client		0
0	0.5	0.5	0	black	white	0	client		0
0	0.5	0.5	0	black	white	0	client		0
0	0.5	0.5	0	black	white	0	client		0
0	0.5	0.5	0	black	white	0	client		0
0	0.5	0.5	0	black	white	0	client		0
0	0.5	0.5	0	black	white	0	client		0
0	0.5	0.5	0	black	white	0	client		0
1	0.25	0.438564065	90	black	white	1	client	Client	1
1	0.75	0.438564065	90	cadetblue	cadetblue	1	server	Server	1
1	0.5	0.5	0	black	white	0	client		0
1	0.5	0.5	0	black	white	0	client		0
1	0.5	0.5	0	black	white	0	client		0
1	0.5	0.5	0	black	white	0	client		0
1	0.5	0.5	0	black	white	0	client		0
1	0.5	0.5	0	black	white	0	client		0
1	0.5	0.5	0	black	white	0	client		0
1	0.5	0.5	0	black	white	0	client		0
1	0.5	0.5	0	black	white	0	client		0
2	0.25	0.438564065	90	black	white	1	client	Client	0
2	0.75	0.438564065	90	cadetblue	cadetblue	0.2	server	Server	0
2	0.5	0.5	0	black	white	0	client		0
2	0.5	0.5	0	black	white	0	client		0
2	0.5	0.5	0	black	white	0	client		0
2	0.5	0.5	0	black	white	0	client		0
2	0.5	0.5	0	black	white	0	client		0
2	0.5	0.5	0	black	white	0	client		0
2	0.5	0.5	0	black	white	0	client		0
2	0.5	0.5	0	black	white	0	client		0
2	0.5	0.5	0	black	white	0	client		0
3	0.25	0.438564065	50	black	white	1	client	Client	1
3	0.75	0.3	50	cadetblue	cadetblue	1	server	Replica	1
3	0.65	0.577128129	50	cadetblue	cadetblue	1	server	Replica	1
3	0.85	0.577128129	50	cadetblue	cadetblue	1	server	Replica	1
3	0.5	0.5	0	black	white	0	client		0
3	0.5	0.5	0	black	white	0	client		0
3	0.5	0.5	0	black	white	0	client		0
3	0.5	0.5	0	black	white	0	client		0
3	0.5	0.5	0	black	white	0	client		0
3	0.5	0.5	0	black	white	0	client		0
3	0.5	0.5	0	black	white	0	client		0
4	0.25	0.438564065	50	black	white	1	client	Client	1
4	0.75	0.3	50	cadetblue	cadetblue	0.2	server	Replica	0
4	0.65	0.577128129	50	cadetblue	cadetblue	1	server	Replica	1
4	0.85	0.577128129	50	cadetblue	cadetblue	1	server	Replica	1
4	0.5	0.5	0	black	white	0	client		0
4	0.5	0.5	0	black	white	0	client		0
4	0.5	0.5	0	black	white	0	client		0
4	0.5	0.5	0	black	white	0	client		0
4	0.5	0.5	0	black	white	0	client		0
4	0.5	0.5	0	black	white	0	client		0
4	0.5	0.5	0	black	white	0	client		0
5	0.25	0.3	50	black	white	1	client	Client	1
5	0.75	0.3	50	cadetblue	cadetblue	1	server	Replica	1
5	0.65	0.577128129	50	cadetblue	cadetblue	1	server	Replica	1
5	0.85	0.577128129	50	cadetblue	cadetblue	1	server	Replica	1
5	0.25	0.577128129	50	black	white	1	client	Client	1
5	0.5	0.5	0	black	white	0	client		0
5	0.5	0.5	0	black	white	0	client		0
5	0.5	0.5	0	black	white	0	client		0
5	0.5	0.5	0	black	white	0	client		0
5	0.5	0.5	0	black	white	0	client		0
5	0.5	0.5	0	black	white	0	client		0
6	0.25	0.3	50	black	white	1	client	Client	1
6	0.75	0.25	30	cadetblue	cadetblue	1	server	Replica	1
6	0.63	0.582553755	30	cadetblue	cadetblue	1	server	Replica	1
6	0.87	0.582553755	30	cadetblue	cadetblue	1	server	Replica	1
6	0.25	0.577128129	50	black	white	1	client	Client	1
6	0.75	0.446276878	50	cadetblue	cadetblue	1	server	Primary	1
6	0.5	0.5	0	black	white	0	client		0
6	0.5	0.5	0	black	white	0	client		0
6	0.5	0.5	0	black	white	0	client		0
6	0.5	0.5	0	black	white	0	client		0
6	0.5	0.5	0	black	white	0	client		0
7	0.25	0.3	50	black	white	1	client	Client	0
7	0.75	0.25	30	cadetblue	cadetblue	1	server	Replica	0
7	0.63	0.582553755	30	cadetblue	cadetblue	1	server	Replica	0
7	0.87	0.582553755	30	cadetblue	cadetblue	1	server	Replica	0
7	0.25	0.577128129	50	black	white	1	client	Client	0
7	0.75	0.446276878	50	cadetblue	cadetblue	0.2	server	Primary	0
7	0.5	0.5	0	black	white	0	client		0
7	0.5	0.5	0	black	white	0	client		0
7	0.5	0.5	0	black	white	0	client		0
7	0.5	0.5	0	black	white	0	client		0
7	0.5	0.5	0	black	white	0	client		0
8	0.25	0.3	50	black	white	1	client	Client	0
8	0.75	0.3	50	cadetblue	cadetblue	1	server	Replica	0
8	0.65	0.577128129	50	cadetblue	cadetblue	1	server	Replica	0
8	0.85	0.577128129	50	cadetblue	cadetblue	1	server	Replica	0
8	0.25	0.577128129	50	black	white	1	client	Client	0
8	0.5	0.5	0	black	white	0	client		0
8	0.5	0.5	0	black	white	0	client		0
8	0.5	0.5	0	black	white	0	client		0
8	0.5	0.5	0	black	white	0	client		0
8	0.5	0.5	0	black	white	0	client		0
8	0.5	0.5	0	black	white	0	client		0
9	0.2	0.438564065	50	black	white	1	client	Client	0
9	0.75	0.3	50	cadetblue	cadetblue	1	server proposer		0
9	0.65	0.577128129	50	mediumslateblue	mediumslateblue	1	server acceptor		0
9	0.85	0.577128129	50	hotpink	hotpink	1	server learner		0
9	0.5	0.5	0	black	white	0	client		0
9	0.5	0.5	0	black	white	0	client		0
9	0.5	0.5	0	black	white	0	client		0
9	0.5	0.5	0	black	white	0	client		0
9	0.5	0.5	0	black	white	0	client		0
9	0.5	0.5	0	black	white	0	client		0
